date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:20:40	78/78	---M--	200	added ('OK')	text/plain	etag:%2221e06965ae5eff0a3088156438281ab8%22	http://williamfelker.com/robots.txt		(from )
20:20:41	14334/14334	---MCZ	200	added ('OK')	text/html	etag:W/%2237fe-n8pq7t295RbnZLK0QnoxNw%22	http://williamfelker.com/	williamfelker.com/index.html	(from )
20:20:41	1131/1131	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2246b-15a5e9afed5%22	http://williamfelker.com/assets/favicon.ico	williamfelker.com/assets/favicon.ico	(from http://williamfelker.com/)
20:20:43	38737/38737	---MCZ	200	added ('OK')	text/css	etag:W/%229751-15a5eb4b8c3%22	http://williamfelker.com/assets/css/style.css?v=e9b06ea6be	williamfelker.com/assets/css/style7672.css	(from http://williamfelker.com/)
20:20:43	760/760	---M--	200	added ('OK')	application/javascript	etag:%22a90c58d2f889f99a64ad7646fa8554dc%22	http://williamfelker.com/shared/ghost-url.min.js?v=e9b06ea6be	williamfelker.com/shared/ghost-url.min7672.js	(from http://williamfelker.com/)
20:20:53	32430/32430	---M--	200	added ('OK')	image/jpeg	etag:W/%227eae-15d3a9d904f%22	http://williamfelker.com/content/images/2017/07/56cc1f82ec64303613338128_IFTTT.jpg	williamfelker.com/content/images/2017/07/56cc1f82ec64303613338128_IFTTT.jpg	(from http://williamfelker.com/)
20:20:53	69505/69505	---MCZ	200	added ('OK')	text/xml	etag:W/%2210f81-kyLx387hcIrbtd/ur2xYkw%22	http://williamfelker.com/rss/	williamfelker.com/rss/index.html	(from http://williamfelker.com/)
20:20:57	11359/11359	---MCZ	200	added ('OK')	text/html	etag:W/%222c5f-81K9ojJ2w1nt3QD0iIV97g%22	http://williamfelker.com/2018/01/10/whole-person-care/	williamfelker.com/2018/01/10/whole-person-care/index.html	(from http://williamfelker.com/)
20:21:37	335314/335314	---M--	200	added ('OK')	image/jpeg	etag:W/%2251dd2-152e7abe510%22	http://williamfelker.com/content/images/2016/02/photo-1444096443752-cfef93909ac3-1.jpeg	williamfelker.com/content/images/2016/02/photo-1444096443752-cfef93909ac3-1.jpg	(from http://williamfelker.com/)
20:21:56	339183/339183	---M--	200	added ('OK')	image/jpeg	etag:W/%2252cef-15a7941444e%22	http://williamfelker.com/content/images/2017/02/nomad_energyexample.jpg	williamfelker.com/content/images/2017/02/nomad_energyexample.jpg	(from http://williamfelker.com/)
20:23:48	1021689/1021689	---M--	200	added ('OK')	image/jpeg	etag:W/%22f96f9-15302b686ef%22	http://williamfelker.com/content/images/2016/02/0Ad9yHP8QdCYBUqKxoiw_Stockholmsnow.jpg	williamfelker.com/content/images/2016/02/0Ad9yHP8QdCYBUqKxoiw_Stockholmsnow.jpg	(from http://williamfelker.com/)
20:26:13	1465164/1465164	---M--	200	added ('OK')	image/jpeg	etag:W/%22165b4c-154556ed2f2%22	http://williamfelker.com/content/images/2016/04/photo-1459317103932-b38990477c33.jpg	williamfelker.com/content/images/2016/04/photo-1459317103932-b38990477c33.jpg	(from http://williamfelker.com/)
20:29:55	3189850/3189850	---M--	200	added ('OK')	image/jpeg	etag:W/%2230ac5a-160def645bb%22	http://williamfelker.com/content/images/2018/01/lili-popper-29464.jpg	williamfelker.com/content/images/2018/01/lili-popper-29464.jpg	(from http://williamfelker.com/)
20:30:39	1524136/1524136	---M--	200	added ('OK')	image/jpeg	etag:W/%221741a8-1540e14a221%22	http://williamfelker.com/content/images/2016/04/IXDSN-350-02_Prjct_03_Final-001.jpeg	williamfelker.com/content/images/2016/04/IXDSN-350-02_Prjct_03_Final-001.jpg	(from http://williamfelker.com/)
